Date,Close,High,Low,Open,Volume
2011-03-23,7.897730350494385,7.910849804215681,7.687824095513533,7.792777223003959,17840300
2011-03-24,8.055163383483887,8.074842572229912,7.8911738973551495,7.956769942034742,16177100
2011-03-25,8.028923034667969,8.087959334647453,7.996125020727136,8.08139960674527,10185100
2011-03-28,7.983006954193115,8.107638668407168,7.937090105625329,8.042043259820352,7657800
2011-03-29,7.9108500480651855,7.93052860368373,7.878052038320943,7.917409149558032,25880800
2011-03-30,7.943647384643555,7.969885667167736,7.884611718141645,7.956766838690645,13372800
2011-03-31,7.989567279815674,8.094520441854272,7.930530969776415,8.074841880364582,13090900
2011-04-01,8.009243965148926,8.055160806392296,7.976445953302214,8.04204197699564,10752900
2011-04-04,7.989567279815674,8.042043860834973,7.969888092755794,8.015805570325323,9660700
2011-04-05,8.173233985900879,8.206032000103491,8.068280840908585,8.074840568863127,20534300
2011-04-06,8.376580238342285,8.415937350535534,8.317543944482392,8.330662773356801,12934700
2011-04-07,8.343782424926758,8.40281872018141,8.297864958856453,8.330662970172375,8459300
2011-04-08,8.297865867614746,8.429057927246209,8.28474703699366,8.35034244123929,7510900
2011-04-11,8.206031799316406,8.251948642734508,8.146995500310233,8.22571035712844,9431600
2011-04-12,8.022359848022461,8.12075384742358,7.96988329856979,8.087955847623206,8548900
2011-04-13,8.04204273223877,8.114197864621723,8.022363547940607,8.10107903399305,11613700
2011-04-14,8.074840545654297,8.101078831826955,7.983006231264948,7.989565959200634,11826400
2011-04-15,8.009243965148926,8.068280261359,7.9567673964222045,8.04860170447899,6326500
2011-04-18,7.8386945724487305,7.956767161381038,7.786218005272155,7.9502074340914595,11477300
2011-04-19,7.845254898071289,7.878052911450556,7.773099769092958,7.86493345587082,17106500
2011-04-20,8.166672706604004,8.166672706604004,8.048600753701685,8.120755870784766,16936700
2011-04-21,8.238828659057617,8.278185769170625,8.206030650250122,8.225709205306625,14928000
2011-04-25,8.055163383483887,8.21259376560086,8.022365361144091,8.192914576854836,11027600
2011-04-26,8.238828659057617,8.238828659057617,8.081398341895635,8.107636623827634,11100000
2011-04-27,8.717677116394043,8.757034850522555,8.297863996493087,8.41593657330866,44473500
2011-04-28,8.796394348144531,8.842311195790314,8.632404891615154,8.645524348411168,31618300
2011-04-29,8.855430603027344,8.855430603027344,8.737357994804539,8.776715739402183,15371600
2011-05-02,8.861990928649902,8.901348050329926,8.816073452596317,8.861990928649902,16884100
2011-05-03,8.829190254211426,8.89478627137247,8.776713690710583,8.855428535961847,18363000
2011-05-04,8.816067695617676,8.855425417166892,8.73079377913894,8.848865692647061,16035100
2011-05-05,8.888225555419922,8.980059218541735,8.822629545558703,8.842308098289104,17851100
2011-05-06,9.01941967010498,9.11125398649674,8.960383368536712,8.960383368536712,19126000
