time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost,trade_slippage
2024-12-16 18:30:00+00:00,buy,fill,51.68577530763481,ETH,crypto,,0.0,,4044.7,market,1,0.0,0.0
2024-12-17 15:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2024-12-17 15:30:00+00:00,sell,fill,51.68577530763481,ETH,crypto,,0.0,,3938.58,market,1,0.0,0.0
2025-01-15 20:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2025-01-15 20:30:00+00:00,buy,fill,58.7034678981395,ETH,crypto,,0.0,,3451.779,market,1,0.0,0.0
2025-01-16 14:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2025-01-16 14:30:00+00:00,sell,fill,58.7034678981395,ETH,crypto,,0.0,,3338.8735,market,1,0.0,0.0
2025-01-17 20:30:00+00:00,buy,new,,ETH,crypto,,0.0,,,market,1,,0.0
2025-01-17 20:30:00+00:00,buy,fill,55.346049393871766,ETH,crypto,,0.0,,3495.82,market,1,0.0,0.0
2025-01-21 14:30:00+00:00,sell,new,,ETH,crypto,,0.0,,,market,1,,0.0
2025-01-21 14:30:00+00:00,sell,fill,55.346049393871766,ETH,crypto,,0.0,,3331.823,market,1,0.0,0.0
