datetime,portfolio_value,cash,positions,return
2023-02-01 13:30:00+00:00,100000.0,100000.0,[],
2023-02-01 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-01 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-01 15:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-01 16:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-01 17:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-01 18:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-01 19:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-01 20:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-01 21:00:00+00:00,100000.0,100000.0,[],0.0
2023-02-02 13:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-02 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-02 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-02 15:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-02 16:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-02 17:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-02 18:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-02 19:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-02 20:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-02 21:00:00+00:00,100000.0,100000.0,[],0.0
2023-02-03 13:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-03 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-03 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-03 15:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-03 16:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-03 17:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-03 18:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-03 19:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-03 20:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-03 21:00:00+00:00,100000.0,100000.0,[],0.0
2023-02-06 13:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-06 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-06 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-06 15:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-06 16:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-06 17:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-06 18:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-06 19:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-06 20:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-06 21:00:00+00:00,100000.0,100000.0,[],0.0
2023-02-07 13:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-07 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-07 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-07 15:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-07 16:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-07 17:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-07 18:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-07 19:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-07 20:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-07 21:00:00+00:00,100000.0,100000.0,[],0.0
2023-02-08 13:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-08 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-08 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-08 15:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-08 16:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-08 17:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-08 18:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-08 19:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-08 20:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-08 21:00:00+00:00,100000.0,100000.0,[],0.0
2023-02-09 13:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-09 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-09 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-09 15:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-09 16:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-09 17:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-09 18:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-09 19:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-09 20:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-09 21:00:00+00:00,100000.0,100000.0,[],0.0
2023-02-10 13:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-10 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-10 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-10 15:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-10 16:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-10 17:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-10 18:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-10 19:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-10 20:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-10 21:00:00+00:00,100000.0,100000.0,[],0.0
2023-02-13 13:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-13 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-13 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-13 15:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-13 16:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-13 17:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-13 18:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-13 19:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-13 20:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-13 21:00:00+00:00,100000.0,100000.0,[],0.0
2023-02-14 13:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-14 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-14 14:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-14 15:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-14 16:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-14 17:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-14 18:30:00+00:00,100000.0,100000.0,[],0.0
2023-02-14 19:30:00+00:00,100000.0,100000.0,[],0.0
